Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points,in_symbol_preset,in_enable_plan_c,in_enable_plan_d,in_plan_d_low_vol_ratio,in_plan_d_high_vol_ratio,in_plan_d_buffer_lowvol,in_plan_d_buffer_highvol
326,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
935,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.696,2.15,0.05,0.08
879,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,27,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
1117,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
1255,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,11,21,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
1457,1339.55,839.55,10.903247,2.037442,2.038237,10.499586,0,38.1548,77,30,90,0.3,1,2.3,0.8,2,true,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
1685,1243.25,743.25,9.175926,1.839973,1.495022,8.510952,0,47.4108,81,30,90,0.3,1,2.7,0.4,3.4,true,35,false,11,21,false,0.32,1,2.7,3,3,true,true,0.12,0.35,0.02,0.09
1605,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,1.08,2.125,0.02,0.09
1663,1311.95,811.95,15.319811,2.424349,1.901077,11.316744,0,40.783,53,30,90,0.3,1,2.7,0.4,3.4,true,35,false,5,18,true,0.34,1,2.7,3,3,true,true,0.888,0.95,0.03,0.06
1487,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,0.725,0.03,0.08
1572,1526,1026,10.363636,1.813834,1.10483,2.838045,0,39.7879,99,15,97,0.5,0,3,0.8,3.4,false,23,true,6,21,false,0.32,1,3.7,0,3,true,true,1.152,1.275,0.03,0.1
1731,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,27,false,12,21,false,0.32,1,2.7,3,3,true,true,0.888,0.35,0.03,0.1
1775,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,8,23,false,0.32,1,2.7,3,3,true,true,0.696,2.3,0.05,0.06
1811,1243.25,743.25,9.175926,1.839973,1.495022,8.510952,0,47.4108,81,30,90,0.3,1,2.7,0.4,3.4,true,35,false,9,21,false,0.34,1,2.7,3,3,true,true,0.12,1.975,0.03,0.05
1855,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.696,0.825,0.02,0.08
1771,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,11,21,false,0.32,1,2.7,3,3,true,true,0.312,2.125,0.03,0.09
1828,1311.95,811.95,15.319811,2.424349,1.901077,11.316744,0,40.783,53,30,90,0.3,1,2.7,0.4,3.4,false,39,false,17,22,true,0.6,2,3.7,3,3,true,true,0.888,2.475,0.03,0.08
1858,1526,1026,10.363636,1.813834,1.10483,2.838045,0,39.7879,99,15,97,0.5,0,3,0.8,3.4,false,23,true,6,21,false,0.32,1,3.7,0,3,true,true,0.96,2.475,0.03,0.08
1755,1440.9,940.9,19.602083,3.86554,4.240198,21.893293,0,42.4202,48,30,90,0.3,1,2,1,2.2,true,23,false,12,21,false,0.32,1,2.7,3,3,true,true,0.696,2.15,0.05,0.08
1724,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,16,19,false,0.38,1,2.3,3,3,true,true,0.312,1.375,0.03,0.08
1920,1243.25,743.25,9.175926,1.839973,1.495022,8.510952,0,47.4108,81,30,90,0.3,1,2.7,0.4,3.4,false,39,false,9,21,false,0.42,2,2.9,0,3,true,true,0.12,1.975,0.03,0.05
2056,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,12,21,false,0.32,1,2.7,3,3,true,true,0.312,2.125,0.03,0.09
2028,1455.55,955.55,12.09557,1.915365,1.059133,1.988881,0,42.7968,79,15,97,0.5,0,3,0.8,3.4,false,23,true,7,21,true,0.2,2,3.7,0,3,true,true,0.576,2.275,0.02,0.06
2147,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,12,21,false,0.32,0,2.7,3,3,true,true,1.08,2.125,0.02,0.09
1967,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,27,false,12,21,false,0.32,1,2.7,3,3,true,true,0.504,1.3,0.04,0.06
2012,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,27,false,11,22,false,0.32,1,2.7,3,3,true,true,0.888,2.475,0.03,0.08
2129,1121.05,621.05,15.52625,2.261656,1.675344,6.89984,0,47.5043,40,30,90,0.3,1,2.7,0.4,3.4,true,35,false,7,23,true,0.28,1,2.7,3,3,true,true,0.696,2.3,0.05,0.06
2098,1697.75,1197.75,42.776786,31.322785,5.576117,18.994958,0,31.8411,28,30,92,0.3,0,2.7,0.5,2.1,true,23,false,14,15,false,0.22,0,2,1,3,true,true,0.96,0.8,0.03,0.1
2055,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,11,21,false,0.32,1,2.7,3,3,true,true,0.696,2.3,0.05,0.06
2343,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,true,35,false,11,21,false,0.32,0,2.7,3,3,true,true,1.08,2.125,0.02,0.09
2387,1121.05,621.05,15.52625,2.261656,1.675344,6.89984,0,47.5043,40,30,90,0.3,1,2.7,0.4,3.4,false,39,false,4,19,true,0.56,0,3,3,3,true,true,0.696,1.55,0.05,0.09
2209,1322.95,822.95,10.828289,1.996488,1.926832,9.47821,0,40.3591,76,30,90,0.3,1,2.7,0.4,3.4,false,39,false,16,19,false,0.32,1,2.7,3,3,true,true,0.312,1.375,0.03,0.08
2282,1440.9,940.9,19.602083,3.86554,4.240198,21.893293,0,42.4202,48,30,90,0.3,1,2,1,2.2,true,23,false,11,21,false,0.32,1,2.7,3,3,true,true,0.696,2.15,0.05,0.08
