Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor
3518,99.88,191.25,1.517857,3.290693,4.829545,18.673181,0,6.9641,126,true,5,110,1,1,2.8,0.7,1.6
3475,99.88,191.25,1.517857,3.37077,4.829545,18.761842,0,6.931,126,true,5,110,1,1,2.8,0.5,2.3
3461,99.88,191.25,1.517857,3.409297,4.829545,18.835058,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.6
4014,99.92,191.24,1.482481,3.236464,5.365881,18.989048,0,6.1464,129,true,5,108,1,1,2.8,1,2.9
3380,99.88,191.21,1.51754,3.456765,4.828535,18.818963,0,6.8976,126,true,5,110,1,1,2.8,0.3,3.1
3713,99.88,191.14,1.516984,3.410037,4.826768,18.760598,0,6.915,126,true,5,110,1,1,2.8,0.4,2.7
3361,99.88,191.07,1.516429,3.288538,4.825,18.653974,0,6.9641,126,true,5,110,1,1,2.8,0.7,1.7
3026,99.88,191.07,1.516429,3.324453,4.825,18.733902,0,6.9483,126,true,5,110,1,1,2.6,0.7,2
3553,99.88,191.04,1.51619,3.362018,4.824242,18.77771,0,6.9328,126,true,5,110,1,1,2.6,0.6,2.3
3594,99.88,191.02,1.516032,3.448347,4.823737,18.820878,0,6.8994,126,true,5,110,1,1,2.6,0.4,3.1
3761,99.92,191,1.48062,3.28907,5.359147,19.060822,0,6.1254,129,true,5,108,1,1,2.6,0.9,3.6
3513,99.88,191,1.515873,3.535174,4.823232,18.895968,0,6.8683,126,true,5,110,1,1,2.6,0.2,3.7
2711,94.33,190.89,0.949701,2.042431,2.371894,9.636404,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,3.3
3777,99.86,190.74,1.51381,3.275591,4.753053,18.648152,0,7.4798,126,true,5,110,1,1,2.6,0.8,1.7
3638,99.88,190.72,1.513651,3.491769,4.816162,18.835338,0,6.8822,126,true,5,110,1,1,2.6,0.3,3.5
2613,99.16,190.64,1.162439,2.721665,3.147952,11.476179,0,11.3298,164,true,5,120,1,1,2.6,0.7,2.8
2375,99.59,190.6,1.19125,2.691666,3.928277,13.81979,0,9.0649,160,true,5,110,0.9,1,2.8,0.3,3.6
4060,99.38,190.46,1.190375,2.511347,3.391382,13.867303,0,10.55,160,true,5,108,0.9,1,2.6,1,1.7
2961,99.88,190.43,1.511349,3.354476,4.808838,18.719595,0,6.9328,126,true,5,110,1,1,2.6,0.6,2.5
3492,99.88,190.4,1.511111,3.400706,4.808081,18.691509,0,6.915,126,true,5,110,1,1,2.8,0.4,2.8
3189,99.62,190.37,1.13994,2.555692,3.886688,14.037091,0,9.2049,167,true,5,106,0.9,1,2.8,0.4,3.6
3489,99.88,190.33,1.510556,3.397707,4.806313,18.748419,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.8
3150,99.88,190.27,1.510079,3.31472,4.804798,18.660926,0,6.9483,126,true,5,110,1,1,2.6,0.7,2.1
3369,99.88,190.15,1.509127,3.39544,4.801768,18.731078,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.9
2688,99.88,190.15,1.509127,3.31326,4.801768,18.649441,0,6.9483,126,true,5,110,1,1,2.6,0.7,2.2
3674,99.88,190.04,1.508254,3.435786,4.79899,18.72981,0,6.8994,126,true,5,110,1,1,2.6,0.4,3.3
2458,99.59,190.03,1.187688,2.686607,3.916529,13.778026,0,9.0649,160,true,5,110,0.9,1,2.8,0.3,3.8
3381,99.88,190.02,1.508095,3.522166,4.798485,18.754724,0,6.8683,126,true,5,110,1,1,2.6,0.2,4
3271,99.88,189.98,1.507778,3.482101,4.797475,18.767882,0,6.8822,126,true,5,110,1,1,2.6,0.3,3.6
3849,99.92,189.96,1.472558,3.24858,5.329966,18.934868,0,6.1355,129,true,5,108,1,1,2.6,1,3.6
3920,99.92,189.9,1.472093,3.247869,5.328283,18.929098,0,6.1355,129,true,5,108,1,1,2.6,1,3.7
3508,99.88,189.85,1.506746,3.393771,4.794192,18.640528,0,6.915,126,true,5,110,1,1,2.8,0.4,3
3373,99.88,189.8,1.506349,3.479749,4.792929,18.750338,0,6.8822,126,true,5,110,1,1,2.6,0.3,3.7
3611,99.88,189.75,1.505952,3.309237,4.791667,18.584038,0,6.9485,126,true,5,110,1,1,2.8,0.6,2.3
2492,99.27,189.74,1.200886,2.575259,3.325855,13.59373,0,10.6923,158,true,5,110,0.9,1,2.8,0.7,2
3329,99.88,189.72,1.505714,3.308029,4.790909,18.610859,0,6.9483,126,true,5,110,1,1,2.6,0.7,2.3
