Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult,PendingExpiryMinutes,UseHTFFilter,HTF_EMA_Period,EntryOffsetPips
41,XAUUSD,50,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
42,XAUUSD,50,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
43,XAUUSD,50,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
44,XAUUSD,50,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
45,XAUUSD,50,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
46,XAUUSD,55,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
47,XAUUSD,55,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
48,XAUUSD,55,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
49,XAUUSD,55,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
50,XAUUSD,55,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
51,XAUUSD,55,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
52,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
53,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
54,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
55,XAUUSD,55,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
