PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Comment
624,EURUSD,40,6,3,2,0,3,0,0.4,1,12,1,1,2,1.2,2,0.6,40,1,1,0.75,3,1,5,0.5,
625,EURUSD,50,8,4,2.5,1,2.5,1,0.4,2,6,1.5,0,2,1.5,2,0.8,50,0,1,0.5,3,1,5,0.5,
626,EURUSD,60,7,3,3,0,3,0,0.5,1,8,1.5,1,2.5,1.2,2.5,0.6,60,1,1,0.75,5,1,5,0.5,
627,EURUSD,70,6,4,1.5,1,2.5,1,0.3,2,10,1.5,0,1.5,1.5,3,1,40,0,1,0.5,5,1,5,0.5,
628,EURUSD,40,8,3,2,0,3,0,0.3,1,12,2,1,2,1.2,2,0.6,50,1,1,0.75,4,1,5,0.5,
629,EURUSD,50,7,4,2.5,1,2.5,1,0.4,2,6,2,0,2.5,1.5,2.5,1,60,0,1,0.5,4,1,5,0.5,
630,EURUSD,60,6,3,3,0,3,0,0.5,1,8,2,1,1.5,1.2,3,0.8,40,1,1,0.75,3,1,5,0.5,
631,EURUSD,70,8,4,1.5,1,2.5,1,0.3,2,10,1,0,2,1.5,2,1,50,0,1,0.5,3,1,5,0.5,
632,EURUSD,40,8,3,2,0,3,0,0.3,1,12,1,1,2.5,1.2,2.5,0.8,60,1,1,0.75,5,1,5,0.5,
633,EURUSD,50,7,4,2.5,1,2.5,1,0.4,2,6,1,0,1.5,1.5,3,0.6,40,0,1,0.5,4,1,5,0.5,
634,EURUSD,60,6,3,3,0,3,0,0.5,1,8,1.5,1,2,1.2,2,1,50,1,1,0.75,4,1,5,0.5,
635,EURUSD,70,8,4,1.5,1,2.5,1,0.5,2,10,1.5,0,2,1.5,2.5,0.6,60,0,0,0.5,3,1,5,0.5,
636,EURUSD,40,7,3,2,0,2,0,0.3,1,12,1.5,1,2.5,1.2,2.5,1,40,1,0,0.75,3,1,5,0.5,
637,EURUSD,50,6,4,2.5,1,2.5,1,0.4,2,6,2,0,1.5,1.5,3,0.8,50,0,0,0.5,5,1,5,0.5,
638,EURUSD,60,8,3,3,0,2,0,0.4,1,8,2,1,2,1.2,2,1,60,1,0,0.75,5,1,5,0.5,
639,EURUSD,70,7,4,1.5,1,2.5,1,0.5,2,10,2,0,2.5,1.5,2.5,0.8,40,0,0,0.5,4,1,5,0.5,
640,EURUSD,40,6,3,2,0,2,0,0.3,1,12,1,1,1.5,1.2,3,0.6,50,1,0,0.75,4,1,5,0.5,
641,EURUSD,50,8,4,2.5,1,2.5,1,0.3,2,6,1,0,2,1.5,2,1,60,0,0,0.5,3,1,5,0.5,
642,EURUSD,60,7,3,3,0,2,0,0.4,1,8,1.5,1,2.5,1.2,2.5,0.6,40,1,0,0.75,3,1,5,0.5,
643,EURUSD,70,7,4,1.5,1,2.5,1,0.5,2,10,1.5,0,1.5,1.5,3,1,50,0,0,0.5,5,1,5,0.5,
644,EURUSD,40,6,3,2,0,2,0,0.3,1,12,1.5,1,2,1.2,2,0.8,60,1,0,0.75,4,1,5,0.5,
645,EURUSD,50,8,4,2.5,1,2.5,1,0.3,2,6,2,0,2,1.5,2.5,1,40,0,0,0.5,4,1,5,0.5,
646,EURUSD,60,7,3,3,0,2,0,0.4,1,8,2,1,2.5,1.2,2.5,0.8,50,1,0,0.75,3,1,5,0.5,
647,EURUSD,70,6,4,1.5,1,2.5,1,0.5,2,10,2,0,1.5,1.5,3,0.6,60,0,2,0.5,3,1,5,0.5,
648,EURUSD,40,8,3,2,0,2,0,0.5,1,12,1,1,2,1.2,2,0.8,40,1,2,0.75,5,1,5,0.5,
649,EURUSD,50,7,4,2.5,1,2.5,1,0.3,2,6,1,0,2.5,1.5,2.5,0.6,50,0,2,0.5,5,1,5,0.5,
650,EURUSD,60,6,3,3,0,2,0,0.4,1,8,1,1,1.5,1.2,3,1,50,1,2,0.75,4,1,5,0.5,
651,EURUSD,70,8,4,1.5,1,2.5,1,0.4,2,10,1.5,0,2,1.5,2,0.8,60,0,2,0.5,4,1,5,0.5,
652,EURUSD,40,7,3,2,0,2,0,0.5,1,12,1.5,1,2.5,1.2,2.5,1,40,1,2,0.75,3,1,5,0.5,
653,EURUSD,50,7,4,2.5,1,2.5,1,0.3,2,6,1.5,0,1.5,1.5,3,0.8,50,0,2,0.5,3,1,5,0.5,
