Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpEntryMethod,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpRiskPercent,InpUseDailyFilter,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
1178,10004.83,4.83,0.805,25.15,0.676471,0.983201,0,0.0713,6,0,30,2,6,24,60,300,250,800,false,100,200,0.3,false,true,true,80,26,false,6,10,true
187,10004.83,4.83,0.805,25.15,0.676471,0.983201,0,0.0713,6,0,30,2,6,24,60,300,250,800,false,500,250,0.3,false,true,true,80,26,false,6,10,true
1464,10003.93,3.93,0.655,22.833333,0.345646,0.604898,0,0.1136,6,2,30,2,10,22,30,300,200,700,false,350,250,0.2,true,true,false,54,29,true,8,40,false
669,10004.35,4.35,0.483333,22.75,0.805556,2.085216,0,0.0539,9,1,30,5,14,30,50,250,150,1000,true,500,250,0.2,true,true,false,99,20,true,9,30,true
882,10003.26,3.26,1.086667,21.375,0.460452,0.488293,0,0.0707,3,2,30,3,11,14,50,150,350,800,false,400,200,0.3,false,true,true,83,26,true,18,10,false
661,10002.85,2.85,0.95,18.8125,0.439815,0.503068,0,0.0647,3,2,30,5,10,22,40,300,300,700,true,450,200,0.3,true,true,true,64,29,false,12,20,false
1883,10022.55,22.55,0.939583,18.617187,1.194386,4.062185,0,0.1884,24,2,30,3,13,30,45,250,150,400,false,450,250,0.4,true,true,true,41,26,true,15,40,true
1251,10002.83,2.83,0.943333,16.722222,0.191216,0.128368,0,0.1477,3,1,30,1,12,26,55,250,300,800,false,250,250,0.4,true,true,false,56,29,true,9,50,true
1578,10002.33,2.33,0.776667,15.5625,0.351964,0.386865,0,0.0661,3,2,30,5,6,20,55,300,250,900,false,100,200,0.1,true,true,false,79,26,true,16,50,true
7080,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
7170,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,45,250,250,700,true,350,100,0.4,true,true,true,31,29,false,12,20,false
6214,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,100,0.4,true,true,true,31,29,false,12,20,false
6538,10107.17,107.17,2.232708,15.027487,7.799854,20.027144,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,150,0.5,true,true,false,31,29,false,12,20,false
5307,10107.17,107.17,2.232708,15.027487,7.799854,20.027144,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,150,0.4,true,true,true,31,29,false,12,20,false
6811,10104.52,104.52,2.322667,14.53886,7.606987,20.570172,0,0.136,45,2,30,4,7,28,55,250,250,500,true,300,150,0.5,true,true,false,31,29,false,12,20,false
6248,10104.39,104.39,2.319778,14.522021,7.597525,20.535313,0,0.136,45,2,30,4,7,28,60,250,250,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
6042,10103.61,103.61,2.302444,14.420984,7.540757,20.368549,0,0.136,45,2,30,4,7,28,60,250,250,800,true,350,100,0.5,true,true,false,31,29,false,12,20,false
5509,10103.61,103.61,2.302444,14.420984,7.540757,20.368549,0,0.136,45,2,30,4,7,28,60,250,250,800,true,350,100,0.4,true,true,true,31,29,false,12,20,false
6609,10103.44,103.44,2.298667,14.398964,7.528384,19.723759,0,0.136,45,2,30,4,7,28,60,250,250,700,true,350,150,0.5,true,true,false,31,29,false,12,20,false
6919,10101.89,101.89,2.264222,14.198187,7.415575,20.853515,0,0.136,45,2,30,4,7,28,55,250,250,500,true,300,100,0.5,true,true,false,31,29,false,12,20,false
7106,10101.16,101.16,2.408571,14.154746,7.362445,21.475715,0,0.136,42,2,30,4,8,28,60,250,250,700,true,350,100,0.4,true,true,true,31,29,false,12,20,false
6408,10101.16,101.16,2.408571,14.154746,7.362445,21.475715,0,0.136,42,2,30,4,8,28,60,250,250,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
6983,10100.67,100.67,2.396905,14.091027,7.326783,21.153859,0,0.136,42,2,30,4,10,26,45,250,250,700,true,350,100,0.4,true,true,true,31,29,false,17,10,true
6036,10100.67,100.67,2.396905,14.091027,7.326783,21.153859,0,0.136,42,2,30,4,10,26,45,250,250,700,true,350,100,0.4,true,true,true,31,29,false,13,20,false
7196,10099.23,99.23,2.362619,13.870298,7.22198,21.05935,0,0.136,42,2,30,4,10,28,60,250,250,500,true,300,150,0.5,true,true,false,31,29,false,12,20,false
6127,10098.19,98.19,2.337857,13.768531,7.146288,20.616778,0,0.1361,42,2,30,4,8,28,60,250,250,500,true,300,150,0.5,true,true,false,31,29,false,12,40,true
914,10050.75,50.75,2.114583,13.288136,1.070675,1.804472,0,0.4716,24,2,30,3,6,12,25,300,150,900,false,150,100,0.2,false,false,false,69,23,false,13,30,true
7334,10093.67,93.67,1.951458,13.260471,6.817322,16.545449,0,0.1361,48,2,30,4,7,26,50,250,250,900,true,350,200,0.4,true,true,true,31,29,false,12,20,false
7405,10101.4,101.4,2.1125,13.216867,7.379913,18.02358,0,0.1361,48,2,30,4,7,26,50,250,250,900,true,400,100,0.4,true,true,true,31,29,false,12,20,false
6047,10093.6,93.6,2.08,13.124352,6.812227,17.443361,0,0.1361,45,2,30,4,7,28,60,250,250,500,true,300,200,0.4,true,true,true,31,29,false,12,40,true
5733,10093.6,93.6,2.08,13.124352,6.812227,17.443361,0,0.1361,45,2,30,4,7,28,60,250,250,500,true,300,200,0.5,true,true,false,31,29,false,12,40,true
5278,10093.6,93.6,2.08,13.124352,6.812227,17.443361,0,0.1361,45,2,30,4,7,28,60,250,250,500,true,300,200,0.4,true,true,true,31,29,false,17,10,false
4163,10093.6,93.6,2.08,13.124352,6.812227,17.443361,0,0.1361,45,2,30,4,7,28,60,250,250,500,true,300,200,0.5,true,true,false,31,29,false,12,20,false
3782,10093.6,93.6,2.08,13.124352,6.812227,17.443361,0,0.1361,45,2,30,4,7,28,60,250,250,500,true,300,200,0.4,true,true,true,31,29,false,12,20,false
6969,10095.12,95.12,1.865098,13.071066,8.848372,22.496757,0,0.1065,51,2,30,4,7,28,60,250,200,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
7104,10090.34,90.34,1.882083,12.824607,6.574964,15.80941,0,0.1362,48,2,30,4,7,26,55,250,250,500,true,300,250,0.4,true,true,true,31,29,false,12,20,false
1223,10001.84,1.84,0.613333,12.5,0.275449,0.307655,0,0.0667,3,2,30,3,13,30,45,150,200,700,false,350,250,0.5,false,true,true,109,20,true,18,50,true
5673,10089.38,89.38,1.655185,12.429668,7.473244,19.352639,0,0.1189,54,2,30,4,6,26,50,250,200,600,true,350,200,0.5,true,true,false,31,29,false,12,20,false
4987,10089.38,89.38,1.655185,12.429668,7.473244,19.352639,0,0.1189,54,2,30,4,6,26,50,250,200,600,true,350,200,0.3,true,true,true,31,29,false,12,20,false
4508,10089.38,89.38,1.655185,12.429668,7.473244,19.352639,0,0.1189,54,2,30,4,6,26,50,250,200,600,true,350,200,0.4,true,true,true,31,29,false,12,20,false
4982,10092.08,92.08,2.192381,12.410161,6.110153,17.259963,0,0.1501,42,2,30,4,9,28,60,250,250,500,true,400,200,0.5,true,true,false,31,26,true,18,50,false
2011,10046.26,46.26,3.084,12.310513,0.965158,0.876378,0,0.4769,15,2,30,3,6,12,25,300,150,900,false,150,100,0.3,false,false,false,30,20,true,18,40,true
6142,10086.91,86.91,1.931333,12.257772,6.325328,15.498464,0,0.1362,45,2,30,4,7,28,60,250,250,500,true,300,250,0.4,true,true,true,31,29,false,12,40,true
6544,10101.2,101.2,2.409524,11.988056,7.365357,20.394054,0,0.1361,42,2,30,5,10,22,40,300,250,1000,true,350,100,0.5,true,true,false,31,29,false,12,20,false
4959,10101.2,101.2,2.409524,11.988056,7.365357,20.394054,0,0.1361,42,2,30,5,10,22,40,300,250,1000,true,350,100,0.4,true,true,true,31,29,false,12,20,false
7379,10099.12,99.12,2.36,11.762215,7.213974,20.95881,0,0.136,42,2,30,5,10,22,40,300,250,600,true,300,150,0.5,true,true,false,31,29,false,12,20,false
7149,10099.12,99.12,2.36,11.762215,7.213974,20.95881,0,0.136,42,2,30,5,10,22,40,300,250,600,true,300,150,0.5,true,true,false,31,29,false,8,10,false
7547,10098.88,98.88,2.354286,11.759521,7.196507,20.865459,0,0.1361,42,2,30,4,8,28,60,300,250,1000,true,350,100,0.5,true,true,false,31,29,false,17,30,false
1767,10046.38,46.38,3.865,11.711316,1.031813,0.512093,0,0.4474,12,2,16385,4,13,18,55,200,450,500,false,350,200,0.3,false,false,false,30,29,true,17,20,false
1348,10018.98,18.98,0.90381,11.371585,1.381368,14.472414,0,0.1371,21,1,16385,1,9,16,45,300,250,600,true,150,200,0.3,false,true,false,53,23,true,11,50,false
6293,10097.17,97.17,1.799444,11.326249,8.412987,22.338142,0,0.1148,54,2,30,4,6,26,50,300,200,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
5419,10093.9,93.9,2.086667,11.184382,6.834061,17.259928,0,0.1361,45,2,30,4,7,28,40,300,250,600,true,300,200,0.4,true,true,true,31,29,false,12,20,false
4243,10075.22,75.22,1.928718,11.05615,5.474527,18.432285,0,0.1364,39,2,30,4,6,28,60,250,300,400,true,250,200,0.5,true,true,false,31,29,true,18,10,false
3063,10041.24,41.24,2.291111,11.009709,1.23178,1.285778,0,0.3332,18,1,16385,1,11,26,50,250,150,900,false,150,250,0.2,true,false,false,129,26,true,6,40,false
302,10001.75,1.75,0.583333,10.722222,0.414692,0.509625,0,0.0422,3,1,30,1,11,26,45,250,200,400,true,150,300,0.3,true,true,true,96,23,true,19,30,true
5525,10081.23,81.23,1.934048,10.693317,6.746678,16.995416,0,0.1197,42,2,30,4,7,28,45,250,250,500,true,400,200,0.4,true,true,true,31,29,false,12,20,false
6784,10081.2,81.2,1.933333,10.689737,6.744186,17.097183,0,0.1197,42,2,30,4,7,28,60,250,250,500,true,400,200,0.5,true,true,false,31,29,false,12,20,false
5992,10081.2,81.2,1.933333,10.689737,6.744186,17.097183,0,0.1197,42,2,30,4,7,28,60,250,250,500,true,400,200,0.4,true,true,true,31,29,false,12,20,false
6285,10073.58,73.58,1.751905,10.531088,4.400718,18.893101,0,0.1667,42,2,30,4,6,26,50,250,200,600,true,350,200,0.1,true,true,true,36,29,false,20,10,false
5967,10090.5,90.5,2.154762,10.47644,5.461678,16.579529,0,0.1651,42,2,30,4,9,24,40,300,250,600,true,400,200,0.3,true,true,true,31,26,true,18,50,false
3757,10071.06,71.06,2.153333,10.301047,5.171761,20.851814,0,0.1364,33,2,30,4,6,26,45,250,250,700,true,350,100,0.2,true,true,false,32,29,true,8,40,false
1707,10036.5,36.5,6.083333,9.946078,0.723059,0.102397,0,0.5025,6,0,30,1,5,16,25,300,450,300,false,150,300,0.2,true,false,false,129,26,true,12,20,true
1229,10036.5,36.5,6.083333,9.946078,0.723059,0.102397,0,0.5025,6,0,30,1,5,16,25,300,450,300,false,150,250,0.3,true,false,true,74,20,true,12,20,true
6174,10071.2,71.2,2.373333,9.84472,5.181951,17.93197,0,0.1365,30,2,30,4,10,26,45,250,250,700,true,400,100,0.4,true,true,true,31,29,true,18,10,false
3489,10066.03,66.03,1.834167,9.82754,5.520903,21.863979,0,0.119,36,2,30,4,6,26,50,250,300,500,true,200,200,0.4,true,true,true,31,29,true,18,20,false
3399,10080.05,80.05,1.905952,9.69164,5.539792,14.230623,0,0.1438,42,2,30,5,10,22,40,300,250,1000,true,350,250,0.4,true,true,true,31,29,false,12,20,false
2341,10036.92,36.92,4.102222,9.606061,0.785866,0.226504,0,0.4676,9,2,16385,4,13,18,55,200,450,500,false,350,200,0.4,true,false,false,81,29,true,10,20,false
2262,10036.92,36.92,4.102222,9.606061,0.785866,0.226504,0,0.4676,9,2,16385,4,13,18,55,200,450,500,false,350,200,0.4,true,false,false,81,29,true,17,20,false
1279,10036.92,36.92,4.102222,9.606061,0.785866,0.226504,0,0.4676,9,2,16385,4,13,18,55,200,450,500,false,350,150,0.4,true,false,false,72,23,false,16,30,false
1285,10036.92,36.92,4.102222,9.606061,0.785866,0.226504,0,0.4676,9,2,16385,4,13,18,55,200,450,500,false,350,200,0.5,true,false,false,75,20,true,13,10,false
6450,10083.96,83.96,1.554815,9.567347,6.219259,16.820439,0,0.1345,54,2,30,4,6,28,60,250,300,400,true,200,250,0.5,true,true,false,31,29,false,12,40,true
1983,10001.34,1.34,0.446667,9.375,0.237589,0.079173,0,0.0564,3,2,16385,4,8,28,25,300,150,700,true,500,250,0.5,true,true,false,31,20,false,8,10,false
314,10001.34,1.34,0.446667,9.375,0.200599,0.23063,0,0.0667,3,2,30,4,8,22,30,250,150,700,true,400,250,0.3,false,true,true,118,20,true,12,50,true
4178,10076.9,76.9,1.971795,9.331528,5.321799,14.980253,0,0.144,39,2,30,5,10,22,40,300,250,1000,true,350,250,0.3,true,true,true,31,26,true,18,20,false
3776,10076.9,76.9,1.971795,9.331528,5.321799,14.980253,0,0.144,39,2,30,5,10,22,40,300,250,1000,true,350,250,0.3,true,true,true,31,26,true,18,10,false
1733,10052.51,52.51,1.591212,9.308544,3.294228,16.200068,0,0.1588,33,2,30,3,13,24,40,200,200,700,true,350,250,0.5,true,true,false,41,26,true,15,40,true
468,10006.72,6.72,1.12,9.296296,0.686415,0.574294,0,0.0978,6,2,30,1,6,12,35,250,350,1000,true,150,200,0.4,true,true,true,118,20,true,20,30,false
4176,10074.87,74.87,1.663778,9.291251,5.558278,17.026704,0,0.1343,45,2,30,5,10,22,40,300,250,1000,true,200,200,0.3,true,true,true,31,29,false,12,20,false
3213,10074.87,74.87,1.663778,9.291251,5.558278,17.026704,0,0.1343,45,2,30,5,10,22,40,300,250,1000,true,200,200,0.5,true,true,false,31,29,false,12,20,false
1504,10074.87,74.87,1.663778,9.291251,5.558278,17.026704,0,0.1343,45,2,30,5,10,22,40,300,250,1000,true,200,200,0.4,true,true,true,31,29,false,12,20,false
3327,10065.05,65.05,2.168333,9.203026,5.03873,23.463931,0,0.1281,30,2,30,4,9,26,45,250,250,700,true,350,100,0.5,true,true,false,45,26,false,5,50,false
3795,10063.64,63.64,2.121333,9.190476,4.167649,18.784754,0,0.1515,30,2,30,4,9,24,45,250,350,500,true,200,250,0.5,true,true,false,45,26,false,5,50,false
4346,10065.51,65.51,1.985152,9.158157,5.436515,22.923747,0,0.1201,33,2,30,3,13,28,60,250,200,600,true,400,100,0.2,true,true,false,32,29,true,12,30,true
886,10002.61,2.61,0.435,9.15625,0.1305,0.148675,0,0.1997,6,2,16385,1,6,24,35,250,150,900,false,400,250,0.5,false,true,true,53,29,true,16,10,false
6178,10079.73,79.73,1.898333,9.069838,5.888479,16.622348,0,0.1346,42,2,30,4,7,28,40,300,250,500,true,400,200,0.4,true,true,true,31,29,false,12,20,false
5345,10080.21,80.21,2.056667,9.069416,6.873179,19.652856,0,0.1164,39,2,30,4,13,24,40,300,250,500,true,400,100,0.4,true,true,true,31,29,false,17,10,false
2219,10034.02,34.02,3.78,9.042553,0.719087,0.21167,0,0.4709,9,2,16385,3,14,24,40,200,450,400,false,200,200,0.3,true,false,false,140,23,false,17,30,false
5931,10084.03,84.03,1.556111,9.002857,5.771291,15.889271,0,0.1448,54,2,30,4,6,26,45,250,500,400,true,200,250,0.5,true,true,false,31,29,false,13,10,false
4368,10063.67,63.67,1.929394,8.899504,4.633916,14.170836,0,0.1366,33,2,30,4,7,28,60,250,250,500,true,400,200,0.5,true,true,false,31,29,true,18,10,false
4937,10076.87,76.87,1.507255,8.884103,5.247099,14.747741,0,0.1457,51,2,30,4,7,28,60,250,500,400,true,200,250,0.4,true,true,true,31,29,false,12,20,false
242,10011.15,11.15,0.929167,8.743056,0.961207,3.663729,0,0.1159,12,1,16385,5,7,20,30,300,300,600,true,100,150,0.3,false,true,false,95,20,false,7,20,true
3222,10076.25,76.25,1.955128,8.647944,4.568604,18.395856,0,0.1661,39,2,30,5,10,22,40,300,250,1000,true,400,100,0.4,true,true,true,31,29,false,12,20,false
4089,10075.85,75.85,1.944872,8.607823,4.544638,18.414213,0,0.1661,39,2,30,5,10,22,40,300,250,500,true,400,100,0.5,true,true,false,31,29,false,12,20,false
7622,10115.16,115.16,2.258039,8.55643,8.173172,20.979687,0,0.1399,51,2,30,4,8,30,60,250,250,500,true,300,150,0.3,true,true,true,31,26,false,13,20,false
2106,10032.93,32.93,3.658889,8.501139,0.673553,0.198739,0,0.4865,9,2,16385,5,7,20,50,250,350,700,false,450,250,0.4,true,false,false,81,29,true,10,30,false
3081,10046.2,46.2,1.4,8.403846,3.199446,15.857769,0,0.144,33,2,30,4,6,26,50,200,150,600,true,350,250,0.5,true,true,false,41,26,true,15,40,true
4007,10074.25,74.25,1.65,8.395418,4.95,15.470784,0,0.1495,45,2,30,5,10,22,40,300,250,500,true,200,250,0.4,true,true,true,31,29,false,12,20,false
3409,10074.25,74.25,1.65,8.395418,4.95,15.470784,0,0.1495,45,2,30,5,10,22,40,300,250,500,true,200,250,0.5,true,true,false,31,29,false,12,20,false
1227,10001.33,1.33,0.443333,8.388889,0.202744,0.24951,0,0.0655,3,2,30,5,10,28,50,250,150,600,false,200,200,0.3,true,true,true,64,29,false,12,20,false
1398,10032.76,32.76,3.64,8.328859,0.722063,0.196813,0,0.4515,9,2,16385,3,6,20,50,250,350,700,false,450,250,0.1,true,false,false,110,23,true,18,30,true
6868,10111.07,111.07,2.177843,8.297635,8.083697,20.155834,0,0.1359,51,2,30,4,8,28,60,250,250,700,true,350,100,0.3,true,true,true,31,26,false,13,20,false
2861,10065.05,65.05,1.971212,8.227778,4.086055,18.1753,0,0.1586,33,2,30,3,13,24,40,300,300,400,true,250,200,0.5,true,true,false,41,26,true,10,40,true
3585,10071.51,71.51,1.589111,8.12251,4.767333,14.48565,0,0.1495,45,2,30,5,10,22,40,300,250,1000,true,200,250,0.4,true,true,true,31,29,false,12,20,false
7468,10107.84,107.84,2.11451,8.085414,7.653655,19.144927,0,0.14,51,2,30,4,8,28,60,250,250,700,true,350,150,0.3,true,true,true,31,26,false,13,20,false
5313,10085.72,85.72,1.50386,8.031993,6.340237,18.878763,0,0.1344,57,2,30,4,6,26,40,200,200,400,true,250,250,0.5,true,true,false,31,29,false,12,20,false
1511,10029.91,29.91,3.323333,8.004684,0.646563,0.188922,0,0.4605,9,2,16385,3,13,22,55,250,300,400,false,500,100,0.3,true,false,false,54,26,true,15,10,false
1489,10029.91,29.91,3.323333,8.004684,0.646563,0.188922,0,0.4605,9,2,16385,3,13,22,55,250,300,400,false,500,100,0.2,true,false,false,123,23,false,16,30,false
1129,10029.91,29.91,3.323333,8.004684,0.646563,0.188922,0,0.4605,9,2,16385,3,13,22,55,250,300,400,false,500,250,0.4,true,false,false,72,23,false,16,30,false
